Y,S,K_i,C_i
0,1,1,1
0,0,1,0
1,1,1,1
1,1,1,0
1,1,1,1
0,0,1,0
0,0,1,0
0,1,1,1
0,0,1,1
0,1,1,1
0,0,1,1
0,0,1,0
0,0,1,0
0,0,1,0
0,0,1,1
1,1,1,1
0,0,1,0
0,1,1,1
1,1,1,1
1,0,1,1
0,0,1,1
1,0,1,1
1,0,1,1
0,0,1,1
0,1,1,1
0,0,1,1
1,1,1,0
0,0,1,1
0,0,1,1
1,1,1,1
0,1,1,0
0,1,1,0
1,0,1,0
0,1,1,0
0,0,1,0
0,1,1,0
0,0,1,0
1,1,1,0
0,0,1,1
1,0,1,1
0,1,1,1
1,1,1,1
0,0,1,1
0,0,1,1
0,1,1,0
0,0,1,1
1,1,1,1
0,1,1,0
0,1,1,1
1,0,1,1
0,0,1,1
1,0,1,0
0,1,1,0
0,0,1,0
0,1,1,0
1,1,1,1
1,1,1,1
0,0,1,1
0,1,1,1
0,1,1,1
1,0,1,1
1,0,1,1
1,0,1,1
0,0,1,1
0,0,1,0
1,0,1,1
0,1,1,0
0,0,1,0
0,0,1,0
1,1,1,0
0,1,1,1
0,1,1,1
0,0,1,1
0,1,1,1
0,0,1,1
0,0,1,1
0,1,1,0
1,1,1,0
0,0,1,0
1,0,1,1
0,1,1,1
0,1,1,1
0,0,1,1
1,1,1,1
1,0,1,1
0,1,1,0
1,0,1,0
1,0,1,1
0,1,1,1
0,1,1,0
1,1,1,0
1,1,1,1
0,1,1,1
0,1,1,0
0,1,1,0
0,0,1,0
0,1,1,1
0,0,1,1
0,0,1,0
1,1,1,1
0,0,1,1
0,1,1,0
1,1,1,1
0,1,1,1
1,1,1,1
1,1,1,0
0,0,1,1
0,1,1,1
1,1,1,0
0,0,1,0
0,0,1,1
0,0,1,0
0,1,1,0
1,1,1,1
0,1,1,0
1,0,1,1
1,1,1,0
0,0,1,0
0,1,1,1
0,0,1,0
1,1,1,1
0,1,1,1
0,1,1,0
0,1,1,1
1,1,1,0
1,1,1,1
0,0,1,1
0,1,1,1
0,0,1,1
1,1,1,1
1,1,1,1
0,1,1,0
0,1,1,1
1,1,1,1
0,0,1,1
1,1,1,1
0,1,1,0
1,1,1,0
1,1,1,1
0,0,1,1
0,0,1,0
0,0,1,1
1,0,1,1
1,1,1,1
1,0,1,0
0,1,1,1
0,1,1,1
0,0,1,0
0,1,1,1
1,0,1,1
1,0,1,1
0,0,1,1
0,1,1,1
0,1,1,1
1,0,1,1
0,1,1,1
0,1,1,0
1,1,1,1
0,1,1,0
0,0,1,1
0,1,1,0
0,0,1,1
0,0,1,0
0,1,1,1
0,1,1,0
0,1,1,1
1,1,1,1
0,0,1,1
0,0,1,0
1,1,1,1
0,0,1,0
0,0,1,0
0,0,1,0
0,0,1,1
0,1,1,1
1,1,1,1
0,0,1,0
0,1,1,0
0,0,1,0
0,0,1,1
0,0,1,1
0,0,1,1
0,1,1,1
0,0,1,0
0,0,1,0
0,1,1,0
0,1,1,1
0,0,1,0
0,0,1,0
1,1,1,1
1,1,1,1
0,0,1,1
0,1,1,1
0,1,1,0
0,0,1,0
0,0,1,0
1,0,1,0
0,1,1,1
0,0,1,0
0,0,1,1
